Ticket;Open;Type;Volume;Symbol;Price;SL;TP;Close;Price;Swap;Commissions;Profit;Pips;"Trade duration in seconds"
325000618;"2024-12-13 12:03:48";sell;0.74;EURUSD;1.04876;0;1.04855;"2024-12-17 10:32:43";1.04904;3.22;-2.22;-20.72;-2.8;340135
325016369;"2024-12-13 15:00:09";sell;0.82;EURUSD;1.05157;0;1.04855;"2024-12-17 10:32:42";1.04904;3.58;-2.46;207.46;25.3;329553
325016375;"2024-12-13 15:00:12";sell;0.82;EURUSD;1.05147;0;1.04854;"2024-12-17 10:32:42";1.04904;3.58;-2.46;199.26;24.3;329550
325172233;"2024-12-16 21:00:08";sell;0.90;EURUSD;1.05206;0;1.04855;"2024-12-17 10:32:41";1.04903;1.96;-2.7;272.7;30.3;48753
325051714;"2024-12-13 19:00:16";sell;0.63;GBPUSD;1.26249;0;1.2657;"2024-12-17 10:32:40";1.26867;-2.9;-1.89;-389.34;-61.8;315144
325172236;"2024-12-16 21:00:09";sell;0.90;EURUSD;1.05207;0;1.04854;"2024-12-17 10:32:40";1.04903;1.96;-2.7;273.6;30.4;48751
325101527;"2024-12-16 11:00:18";sell;0.76;GBPUSD;1.26403;0;1.2657;"2024-12-17 10:32:39";1.26868;-1.75;-2.28;-353.4;-46.5;84741
325087367;"2024-12-16 04:01:14";sell;0.69;GBPUSD;1.26339;0;1.2657;"2024-12-17 10:32:39";1.26867;-1.59;-2.07;-364.32;-52.8;109885
325105235;"2024-12-16 12:00:16";sell;0.84;GBPUSD;1.26513;0;1.2657;"2024-12-17 10:32:38";1.26869;-1.93;-2.52;-299.04;-35.6;81142
325126713;"2024-12-16 16:00:17";sell;0.92;GBPUSD;1.26644;0;1.2657;"2024-12-17 10:32:38";1.26869;-2.12;-2.76;-207;-22.5;66741
325153359;"2024-12-16 18:00:17";sell;1.02;GBPUSD;1.26905;0;1.2657;"2024-12-17 10:32:37";1.26871;-2.35;-3.06;34.68;3.4;59540
325183794;"2024-12-17 03:00:07";sell;0.99;EURUSD;1.05293;0;1.04855;"2024-12-17 10:32:36";1.04905;0;-2.97;384.12;38.8;27149
325172247;"2024-12-16 21:00:13";sell;1.11;GBPUSD;1.26978;0;1.2657;"2024-12-17 10:32:36";1.26871;-2.55;-3.33;118.77;10.7;48743
325183823;"2024-12-17 03:00:16";sell;0.99;EURUSD;1.05284;0;1.04854;"2024-12-17 10:32:35";1.04905;0;-2.97;375.21;37.9;27139
325200654;"2024-12-17 10:00:10";sell;0.56;EURUSD;1.04973;0;1.04856;"2024-12-17 10:32:35";1.04905;0;-1.68;38.08;6.8;1945
325200661;"2024-12-17 10:00:11";sell;1.23;GBPUSD;1.27001;0;1.2657;"2024-12-17 10:32:34";1.2687;0;-3.69;161.13;13.1;1943
325200683;"2024-12-17 10:00:17";buy;0.63;GBPUSD;1.27011;0;1.27127;"2024-12-17 10:32:33";1.26862;0;-1.89;-93.87;-14.9;1936
325200685;"2024-12-17 10:00:18";buy;0.63;GBPUSD;1.27011;0;1.27127;"2024-12-17 10:32:33";1.26862;0;-1.89;-93.87;-14.9;1935
